,管轄署,種別,日時,場所,状況,特徴,住所,address,count,color,都道府県コード,都道府県名,都道府県名カナ,都道府県名ローマ字,市区町村コード,市区町村名,市区町村名カナ,市区町村名ローマ字,大字町丁目名,大字町丁目名カナ,大字町丁目名ローマ字,小字・通称名,緯度,経度
0,松山東署管内,不審者,令和4年10月29日(土) 午前5時30分ころ,松山市平和通二丁目のマンション,女性がマンションの通路で振り返ると男が立っており、同女が「何ですか。」と声をかけると男は走り去ったもの。,中肉、身長170cm位、黒色短髪、上衣:灰色パーカー、下衣:黒色様ズボン、徒歩,松山市平和通二丁目の,松山市平和通二丁目,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,平和通二丁目,ヘイワドオリ 2,HEIWADORI 2,,33.847649,132.770418
1,西条署管内,声かけ,令和4年10月27日(木) 午後1時ころ,西条市玉津の店舗内,女性が店舗内で買い物中、男から卑猥な声かけをされたもの。,がっちり型、身長170センチ以上、黒色短髪、黒色長袖ジャージ様(赤色ライン入り)、黒色長ズボン、買い物かご所持、徒歩,西条市玉津の,西条市玉津,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38206.0,西条市,サイジョウシ,SAIJO SHI,玉津,タマツ,TAMATSU,,33.925796,133.201258
2,松山東署管内,身体露出,令和4年10月26日(水) 午後7時ころ,松山市鉄砲町の駐車場,駐車場のブロック塀にもたれかかっていた男が下半身を露出していたもの。,35~40歳位、白色様シャツ、チャック付きのズボン、帽子・眼鏡なし、徒歩,松山市鉄砲町の,松山市鉄砲町,0,orange,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,鉄砲町,テッポウチョウ,TEPPOCHO,,33.848652,132.765956
3,今治署管内,声かけ,令和4年10月26日(水) 午後6時ころ,今治市松木の路上,女子中学生が歩行中、徒歩の男からすれ違いざまに暴言を吐かれたもの。,45~50歳位、中肉、身長170センチ位、黒色短髪、黒色長袖Tシャツ、ジーパン、徒歩,今治市松木の,今治市松木,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,松木,マツギ,MATSUGI,,34.031383,133.003467
4,松山南署管内,声かけ,令和4年10月24日(月) 午後4時15分ころ,松山市久米窪田町の路上,女子中学生が歩行中、対向から近づいてきた自転車に乗車の男から、すれ違い後、Uターンして近づかれ「お小遣い貰ってる?足りてる?あげようか?」などと声をかけられたもの。,40~50歳位、中肉、坊主頭、上下灰色作業着、自転車(塗色不明)使用、メガネ・帽子なし,松山市久米窪田町の,松山市久米窪田町,0,green,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,久米窪田町,クメクボタマチ,KUMEKUBOTAMACHI,,33.804652,132.811203
5,四国中央署管内,身体露出,令和4年10月23日(日) 午後4時40分ころ,四国中央市三島金子一丁目の建物敷地内,女子中学生2人が歩行中、建物敷地内に立つ男の近くを通りかかったところ、男から咳払いされ、男の方を見ると、男がズボンを履かず下半身を露出していたもの。,60~70歳位、黒色短髪(額が広い)、上衣:くすんだ水色シャツ、下衣:黒色様ジーンズ、徒歩、白色マスク着用,四国中央市三島金子一丁目の建物敷地内,四国中央市三島金子一丁目の建物敷地内,0,orange,,,,,,,,,,,,,,
6,松山南署管内,つきまとい,令和4年10月23日(日) 午後3時ころ,東温市野田三丁目の店舗内,女子中学生が友人1人と店内にいたところ、男から近寄られ、店内を移動の度に執拗につきまとわれたもの。,30~40歳位、がっちり体型、黒髪短髪、黒色長袖Tシャツ、スマートフォン所持,東温市野田三丁目の,東温市野田三丁目,0,blue,38.0,愛媛県,エヒメケン,EHIME KEN,38215.0,東温市,トウオンシ,TOON SHI,野田三丁目,ノダ 3,NODA 3,,33.794556,132.835071
7,松山東署管内,声かけ(卑わいな言動),令和4年10月22日(土) 午後9時ころ,松山市大街道一丁目の路上,女性2人が歩行中、自転車に乗車の男から卑わいな言葉を掛けられたもの。,45~50歳位、中肉、170cm位、黒髪短髪、灰色様長袖、黒色長ズボン、黒色マスク着用、自転車(塗色不明)使用,松山市大街道一丁目の,松山市大街道一丁目,0,声かけ(卑わいな言動),38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,大街道一丁目,オオカイドウ 1,OKAIDO 1,,33.83716,132.77011
8,松山東署管内,写真撮影,令和4年10月22日(土) 午後4時45分ころ,松山市二番町三丁目の路上,女子高校生2人が路上で談笑していたところ、自転車に乗車した男からスマートフォンを向けられたもの。,60~70歳位、やせ型、165cm位、肩までの長さの白髪頭で頭頂部は禿げ、緑色長袖の上衣、ベージュ色長ズボン、白色マスク着用、白色折りたたみ式自転車使用,松山市二番町三丁目の,松山市二番町三丁目,0,lightred,38.0,愛媛県,エヒメケン,EHIME KEN,38201.0,松山市,マツヤマシ,MATSUYAMA SHI,二番町三丁目,ニバンチョウ 3,NIBANCHO 3,,33.8396,132.768883
9,今治署管内,不審者,令和4年10月22日(土) 午前8時50分ころ,今治市波方町大浦甲の路上,女性が家から外に出たところ、路上に立っていた男が薄ら笑いながら、女性の家を凝視していたもの。,30歳位、やせ型、170cm位、黒髪短髪、黒色の上衣、黒色ジャージズボン、徒歩,今治市波方町大浦甲の,今治市波方町大浦,0,purple,38.0,愛媛県,エヒメケン,EHIME KEN,38202.0,今治市,イマバリシ,IMABARI SHI,波方町大浦,ナミカタチョウオオウラ,NAMIKATACHO OURA,,34.113951,132.963879
